Alabama,Kay Ivey,GovernorKayIvey
Alabama,Kay Ivey,kayiveyforgov
Alaska,Mike Dunleavy,GovDunleavy
Alaska,Mike Dunleavy,MikeDunleavyGov
Arizona,Doug Ducey,TeamDucey
Arizona,Doug Ducey,dougducey
Arkansas,Asa Hutchinson,AsaHutchinson
Arkansas,Asa Hutchinson,AsaforAR
California,Gavin Newsom,CAgovernor
California,Gavin Newsom,GavinNewsom
California,Gavin Newsom,govpressoffice
Colorado,Jared Polis,GovofCO
Colorado,Jared Polis,PolisForCO
Colorado,Jared Polis,jaredpolis
Connecticut,Ned Lamont,GovNedLamont
Connecticut,Ned Lamont,NedLamont
Delaware,John Carney,JohnCarneyDE
Delaware,John Carney,John_Carney
Florida,Ron DeSantis,GovRonDeSantis
Florida,Ron DeSantis,RonDeSantisFL
Georgia,Brian Kemp,BrianKempGA
Georgia,Brian Kemp,GovKemp
Hawaii,David Ige,GovHawaii
Hawaii,David Ige,teamdavidige
Idaho,Brad Little,GovernorLittle
Idaho,Brad Little,LittleOtterID
Illinois,JB Pritzker,GovPritzker
Illinois,JB Pritzker,JBPritzker
Indiana,Eric Holcomb,GovHolcomb
Indiana,Eric Holcomb,HolcombForIN
Iowa,Kim Reynolds,IAGovernor
Iowa,Kim Reynolds,KimReynoldsIA
Iowa,Kim Reynolds,ReynoldsGregg
Kansas,Laura Kelly,GovLauraKelly
Kansas,Laura Kelly,LauraKellyKS
Kentucky,Andy Beshear,AndyBeshearKY
Kentucky,Andy Beshear,kyoag
Louisiana,John Bel Edwards,JohnBelforLA
Louisiana,John Bel Edwards,LouisianaGov
Maine,Janet Mills,GovJanetMills
Maine,Janet Mills,JanetMillsforME
Maryland,Larry Hogan,GovLarryHogan
Maryland,Larry Hogan,LarryHogan
Massachusetts,Charlie Baker,CharlieBakerMA
Massachusetts,Charlie Baker,MassGovernor
Michigan,Gretchen Whitmer,GovWhitmer
Michigan,Gretchen Whitmer,gretchenwhitmer
Minnesota,Tim Walz,GovTimWalz
Minnesota,Tim Walz,Tim_Walz
Mississippi,Phil Bryant,PhilBryantMS
Missouri,Mike Parson,GovParsonMO
Missouri,Mike Parson,mikeparson
Montana,Steve Bullock,GovernorBullock
Nebraska,Pete Ricketts,GovRicketts
Nebraska,Pete Ricketts,NEGovOffice
Nebraska,Pete Ricketts,RickettsForGov
Nevada,Steve Sisolak,GovSisolak
Nevada,Steve Sisolak,SteveSisolak
New Hampshire,Chris Sununu,ChrisSununu
New Hampshire,Chris Sununu,GovChrisSununu
New Jersey,Phil Murphy,GovMurphy
New Jersey,Phil Murphy,PhilMurphyNJ
New Mexico,Michelle Lujan Grisham,GovMLG
New Mexico,Michelle Lujan Grisham,Michelle4NM
New York,Andrew Cuomo,NYGovCuomo
New York,Andrew Cuomo,andrewcuomo
North Carolina,Roy Cooper,NC_Governor
North Carolina,Roy Cooper,RoyCooperNC
North Dakota,Doug Burgum,DougBurgum
North Dakota,Doug Burgum,DougForDakota
Ohio,Mike DeWine,GovMikeDeWine
Ohio,Mike DeWine,MikeDeWine
Oklahoma,Kevin Stitt,GovStitt
Oregon,Kate Brown,KateBrownForOR
Oregon,Kate Brown,OregonGovBrown
Pennsylvania,Tom Wolf,GovernorTomWolf
Pennsylvania,Tom Wolf,GovernorsOffice
Rhode Island,Gina Raimondo,GovRaimondo
Rhode Island,Gina Raimondo,Raimondo
South Carolina,Henry McMaster,henrymcmaster
South Carolina,Henry McMaster,scgovernorpress
South Dakota,Kristi Noem,KristiNoem
South Dakota,Kristi Noem,govkristinoem
Tennessee,Bill Lee,BillLeeTN
Tennessee,Bill Lee,GovBillLee
Texas,Greg Abbott,AbbottCampaign
Texas,Greg Abbott,GovAbbott
Texas,Greg Abbott,GregAbbott_TX
Utah,Gary Herbert,GovHerbert
Utah,Gary Herbert,HerbertForUtah
Vermont,Phil Scott,GovPhilScott
Vermont,Phil Scott,PhilScott4VT
Virginia,Ralph Northam,GovernorVA
Virginia,Ralph Northam,RalphNortham
Washington,Jay Inslee,GovInslee
Washington,Jay Inslee,JayInslee
Washington,Jay Inslee,WAStateGov
West Virginia,Jim Justice,Justiceforwv
West Virginia,Jim Justice,WVGovernor
Wisconsin,Tony Evers,GovEvers
Wisconsin,Tony Evers,Tony4WI
Wyoming,Mark Gordon,GovernorGordon
Wyoming,Mark Gordon,Mark_Gordon_WY
